diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
0,27,-1374,-40,-237,-998,-327,85
0,27,-1374,-40,-237,-998,-327,85
1,244,-168,101,121,209,394,389
1,1786,555,1670,1624,829,1434,1426
1,1229,1369,1186,1200,1039,1253,1190
1,46,-700,38,-111,-381,-282,-39
0,329,-741,163,168,-254,109,193
1,-48,-1183,37,-176,-890,-520,-97
1,135,322,138,215,353,283,222
1,496,860,366,455,1221,859,571
1,131,-1021,164,36,-832,-422,39
1,187,610,134,208,559,144,107
1,458,1328,242,414,1536,1186,724
1,65,-1373,308,6,-1316,-845,-454
1,253,791,113,307,703,639,403
1,866,110,948,753,-265,451,502
1,427,631,208,420,904,781,582
1,427,631,208,420,904,781,582
1,199,1327,123,296,1022,649,326
1,223,583,137,251,863,550,337
1,199,1327,123,296,1022,649,326
1,581,-459,993,574,-171,64,258
1,173,337,96,137,218,178,119
0,267,-157,132,208,-146,204,279
1,195,376,87,100,310,207,222
1,334,-481,158,211,-369,197,270
1,96,17,46,45,6,12,51
1,2447,1222,2526,2388,1459,1563,1587
1,229,878,183,268,588,61,26
1,63,-1045,56,-78,-678,-420,-139
1,436,635,232,354,3466,706,424
1,310,-341,121,92,98,187,288
1,3475,1405,3434,3212,2108,2225,2145
1,311,-555,155,181,-137,59,82
1,182,541,78,159,379,211,143
1,182,541,78,159,379,211,143
1,368,1080,303,481,406,296,312
1,368,1080,303,481,406,296,312
1,229,-469,126,103,-80,192,262
0,323,87,180,195,35,314,339
1,321,295,155,274,254,607,434
0,237,106,128,204,61,204,201
1,321,295,155,274,254,607,434
1,2519,1107,2456,2338,1198,1412,1359
0,365,-68,91,48,218,798,1033
0,454,-338,232,301,-381,204,303
0,454,-338,232,301,-381,204,303
1,454,-338,232,301,-381,204,303
0,144,-192,114,59,221,16,117
1,311,299,206,289,440,422,345
1,191,335,103,116,106,110,118
1,208,437,94,160,147,175,198
1,420,1148,241,419,1371,998,589
1,238,-800,105,78,-125,-124,37
1,255,1084,143,305,808,505,302
1,-81,-1015,-44,-260,-1086,-636,-303
1,-87,-2789,-20,-406,-2221,-1058,-288
0,-81,-1015,-44,-260,-1086,-636,-303
1,-81,-1015,-44,-260,-1086,-636,-303
0,2422,529,2298,2241,350,1366,1563
1,332,540,258,290,997,563,344
1,355,-300,140,238,484,359,317
1,2422,529,2298,2241,350,1366,1563
1,2422,529,2298,2241,350,1366,1563
1,471,-513,189,215,-257,371,380
0,572,-61,711,526,-90,244,421
1,1103,473,1118,1076,660,1010,825
1,-77,-2035,20,-350,-1717,-804,-320
1,245,688,174,234,712,344,283
1,66,-1058,32,-96,-949,-529,-107
1,219,-257,111,120,-206,226,300
0,66,-1058,32,-96,-949,-529,-107
1,65,-193,33,-45,-235,-244,-132
1,117,-1083,344,120,-1054,-841,-363
1,221,-1388,302,40,-1033,-421,-18
0,219,341,96,155,262,381,260
1,75,-672,108,-29,-615,-347,-53
1,37,-112,72,48,28,-124,-71
1,1225,174,1318,1142,346,645,769
1,1225,174,1318,1142,346,645,769
1,37,-112,72,48,28,-124,-71
1,-19,-1322,3,-177,-1003,-627,-159
0,290,400,147,251,-40,476,309
1,259,262,140,262,571,254,224
1,60,401,121,130,163,0,-101
1,267,395,133,244,619,595,488
1,116,532,62,147,394,137,-29
0,211,-14,61,6,244,450,530
1,40,-1100,45,-115,-837,-405,-25
0,525,526,394,472,879,786,530
1,72,-235,38,26,-213,202,222
0,-51,-1563,-21,-301,-1105,-779,-234
1,217,-128,124,173,276,244,315
1,235,-1328,120,-31,-492,-74,261
1,138,615,100,145,298,181,107
1,204,-362,104,98,37,243,290
1,204,-362,104,98,37,243,290
1,96,-800,54,-50,-714,-184,74
1,96,-800,54,-50,-714,-184,74
1,106,35,36,59,83,84,209
1,198,-321,99,155,-934,184,214
1,542,1046,448,540,1606,970,677
1,198,-321,99,155,-934,184,214
1,30,-266,3,-108,-122,-282,-187
1,405,-92,218,214,141,242,279
0,214,73,104,140,297,360,279
1,178,-726,85,-20,-381,-31,121
0,56,-155,41,29,9,20,35
1,164,-362,200,32,-629,-197,0
1,164,-362,200,32,-629,-197,0
1,926,-2687,1292,619,-2368,-1107,-206
1,353,-469,163,139,33,330,405
1,613,-342,611,499,-178,314,605
1,355,-165,222,188,-146,183,330
1,243,336,124,188,602,222,148
1,355,-165,222,188,-146,183,330
1,156,-566,100,-19,-264,-25,169
1,129,134,28,33,374,468,280
1,156,-566,100,-19,-264,-25,169
1,496,460,272,450,479,687,444
1,266,1171,131,181,1034,564,384
1,368,-350,184,152,-203,209,345
1,237,-396,154,107,-137,129,163
1,137,-196,61,96,9,94,81
1,67,90,28,26,35,78,75
1,67,90,28,26,35,78,75
1,212,-549,98,95,-329,322,305
0,221,177,111,217,628,305,220
1,60,-1737,25,-229,-976,-370,91
1,21,-1387,10,-181,-849,-214,35
1,298,521,164,246,164,340,300
1,21,-1387,10,-181,-849,-214,35
1,154,58,95,127,321,285,217
1,79,-25,27,54,166,-3,39
1,60,-1737,25,-229,-976,-370,91
1,1526,-86,1762,1442,262,781,1032
1,210,-832,-5,-66,35,359,501
1,205,-589,223,109,-300,41,175
1,205,-589,223,109,-300,41,175
1,205,-589,223,109,-300,41,175
1,205,-589,223,109,-300,41,175
1,205,-589,223,109,-300,41,175
1,433,-360,446,300,-54,245,323
0,205,-589,223,109,-300,41,175
0,187,-1128,90,46,-437,-110,78
0,-39,-830,-37,-285,-676,-234,72
0,-39,-830,-37,-285,-676,-234,72
0,-39,-830,-37,-285,-676,-234,72
1,18,-1648,-9,-162,-879,-323,-77
1,331,11,151,259,526,659,460
1,911,1219,980,987,1260,967,877
1,838,-550,923,799,-96,463,559
1,169,-1007,93,32,-716,-71,88
1,132,308,53,51,78,-91,-31
1,87,-1637,54,-140,-1192,-538,33
1,88,702,33,109,389,150,89
1,591,195,809,552,11,207,202
0,146,-447,59,-13,-302,-55,92
1,1490,-487,1368,1274,26,686,1315
0,716,-356,725,570,378,398,482
0,0,0,0,0,0,0,0
0,413,-406,759,317,-497,-184,-38
1,182,-415,103,104,-108,100,181
0,1209,-719,1149,974,-490,64,611
1,265,-1110,127,25,-505,166,259
1,879,-205,1162,882,254,551,623
0,253,222,239,231,-85,178,114
1,253,222,239,231,-85,178,114
0,282,224,132,179,436,338,383
1,311,-75,105,179,186,406,389
0,225,-880,183,19,-586,-281,81
1,225,-880,183,19,-586,-281,81
1,1199,636,1121,1133,1085,978,1191
0,415,-465,576,330,-232,286,209
0,232,-1056,479,159,-527,-189,9
0,143,-417,45,33,510,238,279
